tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
ipad 2 coming sxsw guess apples pretty desperate give attention,Apple,Negative emotion
shipments daily follow mention appleatxdt 4 updates rt mention popup apple store seems popup ipad2s sxsw,,Negative emotion
iphone dead find secret batphone sxsw,iPhone,Negative emotion
barry diller thinks ipad content nuts mention sxsw mention link mention,iPad,Negative emotion
japan docomo introduced mobile apps six years apple came app store jpmobilesummit sxsw,Apple,Negative emotion
jeez guys dunno apple popup golds gym u realize unjobsaesthetic sxsw apple,Apple,Negative emotion
need find better sxsw stream follow inane ipad 2 tweets surely southby,iPad,Negative emotion
austin getting full sxsw underway tell iphone intermittent brick crowded,iPhone,Negative emotion
length google penalty based severity breach webmaster guidelines iewhite text white bgr might get 30 day pen sxsw qagb,,Negative emotion
\x89ûïmention google launch major new social network called circles possibly today link sxsw\x89û\x9d itll never beat myspace,Other Google product or service,Negative emotion
hey sxsw bout donating spending new ipad japan really need thing,iPad,Negative emotion
mention 3g iphone 3 hrs tweeting riseaustin dead need upgrade plugin stations sxsw,iPhone,Negative emotion
mention feeling sxsw worst place try amp get ipad 2 everyone trying get one techiesunite,iPad,Negative emotion
thought would use ipad lot sxsw havent even touched hmmzies,iPad,Negative emotion
google interested location based tech indoor venues businesses convention centers etc tech needs improve first sxsw,Google,Negative emotion
first ipad didnt even exist last year already feel like im pulling antique everytime use ipad sxsw ipad2,iPad,Negative emotion
shoot ipad display search results go questions later osmpw sxsw,iPad,Negative emotion
sxsw iphone app mocking like money come,iPad or iPhone App,Negative emotion
sxsw iphone app one worst ive use long time,iPad or iPhone App,Negative emotion
disliking iphone twitter auto shortening links sxsw,iPad or iPhone App,Negative emotion
iphone overheating many british sounding people texas sxsw,iPhone,Negative emotion
iphone wilting stress sxsw,iPhone,Negative emotion
location pixieengine rt mention google says future location location location link sxsw cnn,Google,Negative emotion
iphone know sxsw week tough alreadydwindling battery help jeebus keep correcting curse words,iPhone,Negative emotion
google launch major new social network called circles updated link launched sxsw soon care,Other Google product or service,Negative emotion
google launch product wait launch product exists wait product exist sxsw link,Google,Negative emotion
god like sxsw imac macbook iphone blackberry staring enough time read book remember,iPhone,Negative emotion
ha seems like gt \x89ûïmention news sxswi apples temporary ipad store sxsw wth\x89û\x9d,Apple,Negative emotion
compiling sxsw list one google doc taking lot longer thought many parties many good musicians,Other Google product or service,Negative emotion
day 1 charger kicked bucket heck apple store thats within walking distance sxsw,Apple,Negative emotion
iphone ipad feel unequipped compared everyone else dang sxsw,iPhone,Negative emotion
hm need another 1 rt mention google launch major new social network called circles possibly today link sxsw,,Negative emotion
google launching anything sxsw partying link circles,,Negative emotion
quotall sxsw nothing teeming sea iphone addicts busy twittering ever engage one anoth\x89û cont link,iPhone,Negative emotion
fan new sxsw trend audience sharing opinions via holding ipad listen annoying,iPad,Negative emotion
tomlinson tx observer says apple subscription data holding biggest impediment success newsapps sxsw,Apple,Negative emotion
apple open popup shop sxsw link ltcool concept wouldnt spend sxsw waiting ipad2,iPad,Negative emotion
mention packing point showing iphone fragmentation sxsw,iPhone,Negative emotion
left pocket guide hotel dont know im going cope say usability ipadiphone app sxsw,iPad or iPhone App,Negative emotion
mention problem google living stories process creating content didnt change interface hacknews sxsw,Other Google product or service,Negative emotion
brilliant read attention marketers media professionals ipad wont save mention link usguys sxsw,,Negative emotion
lame rt mention quotby law averages better buzzquot rt mention quotgoogle circles quot sxsw,Other Google product or service,Negative emotion
new sxsw rule ooing ahing new ipad get big deal everybody one,iPad,Negative emotion
iphone says cant connect internet even though sxsw wifi works great computer suggestions,,Negative emotion
q social sites like delicious often better results google bing qagb sxsw,Google,Negative emotion
read apple sxsw selling ipad 2 release day good lord vortex smugness day may unbearable,Apple,Negative emotion
\x89ûïmention 10 dangerous iphone apps sxsw link,iPad or iPhone App,Negative emotion
went whole day wout laptop amp used ipad 1 things missed ftp cloudapp fast typing amp skype ipad sxsw,iPad,Negative emotion
think would sxsw app blackberry gave iphone finger guess ill carry around ipad lame,iPhone,Negative emotion
people apple store notsmell great sxsw hereforwork nottheipad2,Apple,Negative emotion
thank mention letting test drive car apple store lets hope fix phone sxsw,Apple,Negative emotion
get see google fail social another day rt mention okay google circles debuting sxsw today,Google,Negative emotion
futuremf trajan google destroyed lttitlegt tag websites seo open graph protocol added clean title tag instead sxsw,Google,Negative emotion
know u u selling weve never talked hate product rt mention check heyo 4 iphone sxsw sxswi,iPhone,Negative emotion
apple pop store line ridic sxsw link,Apple,Negative emotion
trying update software 40 iphone download sxsw app far luck wonder phone mexico,,Negative emotion
def could use ipad sxsw today tweeting via iphone sorta pretty much sux,iPhone,Negative emotion
dense una vuelta por socialfuel sxsw para ver la gran diferenciart mention quotthe revolution clumsily translated googlequot,Google,Negative emotion
\x89÷¼ better google \x89÷ link \x89ã edchat musedchat sxsw sxswi classical newtwitter,,Negative emotion
apple werent cocky perhaps separate ipad2 store sxsw would good idea guess dont need extra marketing,Apple,Negative emotion
disgusted iphones battery life already 11 330 pm blackberry going strong sxsw,iPhone,Negative emotion
thought quotsocialquot couldnt get overblown sxsw google may announcing quotcirclesquot today link,Other Google product or service,Negative emotion
mention apple classiest fascist company america really elegant sxsw rji,Apple,Negative emotion
lost ipad corrupted iphone crazy hotels good times sxsw mention aus austinbergstrom link,iPhone,Negative emotion
midday iphone midbattery outlet blocked immobile booth serves purpose taunt sxsw link,iPhone,Negative emotion
sxsw 2011 novelty ipad news apps fades fast among digital delegates link via mention sxsw xipad,iPad or iPhone App,Negative emotion
true rt mention google lost way caring much business vs users mention psych sxsw,Google,Negative emotion
shite app rt mention new ubersocial iphone app store includes uberguide sxsw sponso\x89û cont link,iPad or iPhone App,Negative emotion
know sxsw iphone started lying signal strength,iPhone,Negative emotion
mention nexus tmobile 10x useful iphone4 atampt sxsw many ppl iphone,iPhone,Negative emotion
hmmcant get twitter searches update hootsuite tweetdeck ipad sxsw,iPad or iPhone App,Negative emotion
mention mention mention mention paper phones means ipad likely useless sxsw well fail,iPad,Negative emotion
mention quotive worked google 11 years ive seen lot evilquot qagb sxsw,Google,Negative emotion
sxsw tapworthy ipad design headaches avoiding pitfalls new design challenges,iPad,Negative emotion
disaster iphone died middle sxsw cant function heading apple store,iPhone,Negative emotion
ipad 1 march 11 2011 459pm pst sxsw,iPad,Negative emotion
sxsw 2011 novelty ipad news apps fades fast among digital delegates link via mention,iPad or iPhone App,Negative emotion
sxsw 2011 novelty ipad news apps fades fast among digital delegates link,iPad,Negative emotion
sxsw 2011 google bing smackdown bloody banality link,Google,Negative emotion
sxsw 2011 google bing smackdown bloody banality link via mention mention,,Negative emotion
even 10am austin iphone batt 54 shit sxsw notevenstartedyet,iPhone,Negative emotion
apple selfish brand microsoft served brand wellsxsw,Apple,Negative emotion
mention talk sxsw mistakes building netflix iphone app,,Negative emotion
fucking mac users link sxsw cwebb ipad grant hill,Apple,Negative emotion
sxsw ipad design headaches take two tablet call morning link,iPad,Negative emotion
google brain apologies randy ads popping search results algorithm skewed weekend randy queries sxsw attendees,,Negative emotion
2 hour wait makeshift apple store ipad 2 fail sxsw,Apple,Negative emotion
doesnt make sense limit content specific platform ipad web mention interview w mention sxsw,iPad or iPhone App,Negative emotion
guy kawasaki quoti believe god explanation continuous survival apple yearsquot lol sxsw,Apple,Negative emotion
groupme talks apple app store approval woes would big group people would agree whowillrise sxsw,Apple,Negative emotion
apple love sxsw heard quite bit grumbling holding back features ipad 1 people would buy v2,Apple,Negative emotion
android meetups austin im work well least ps meetup sxsw,Android,Negative emotion
virtualwallet sxsw nfc iphone5 bc standardization android confusion,iPhone,Negative emotion
dont ipad 2 rearfacing camera get link sxsw,iPad,Negative emotion
mention android needs way group apps like ipadipod sxsw hhrs,Android,Negative emotion
lonely planet releases free austin city guide iphone app sxsw like arent enough apps cluttering handset,iPad or iPhone App,Negative emotion
mention another google social failure sxsw,Google,Negative emotion
way deleting app wont stop loading iphone draining power x cancel help sxsw,iPad or iPhone App,Negative emotion
major apple ios update day sxsw genius project manager came brilliant idea nowhammies,Apple,Negative emotion
mention apple popup store sxsw 5 blocks long betterthingstodo,Apple,Negative emotion
queue apple popup store sxsw still long,,Negative emotion
come apple cant spellchecking without autocorrect must nothing grrr sxsw,Apple,Negative emotion
mention arg wont load iphone via app store site trying sxsw feelin touch,iPhone,Negative emotion
charge iphone every 6hours sxsw running lowest possible screen brightness apple fix basics,iPhone,Negative emotion
flash discussion still relevant sxsw tapworthy ipad design headaches,,Negative emotion
guy asked googles mayer take year remove deadly routes google maps death valley sxsw,Other Google product or service,Negative emotion
nyt wsj sxsw ask future branded native news apps ipad link,iPad or iPhone App,Negative emotion
iphone battery doesnt last long sxsw usage,iPhone,Negative emotion
marissa mayer google maps better customer service quicker responses sxsw fh,Other Google product or service,Negative emotion
nothing says douche cake like walking around ipad like iphone sxsw,iPad,Negative emotion
really amazing see many people putting apples notes app ipad sxsw,iPad or iPhone App,Negative emotion
really amazing see many people putting apples notes app ipad sxsw link,iPad or iPhone App,Negative emotion
mention best thing ive heard sxsw quoti gave ipad 2 money japan relief dont need ipad 2mention mention sxswgood,iPad,Negative emotion
quotable gt rt \x89ûïmention quotapple elegant fascist company americaquot flipboard sxsw,Apple,Negative emotion
somebody write app lets consistently type quotshitquot goddamn iphone hey sxsw jump,iPhone,Negative emotion
buy ipad mention makeshift sxsw apple store launch day fuck respect much wwsxsw,iPad,Negative emotion
walk lady bird lake lovely google maps travel times trusted sxsw,Other Google product or service,Negative emotion
ipad calendar frankeninterface designed one interface metaphor uses another tapworthy sxsw,,Negative emotion
sxsw enchantment mention quotno one uses windows voluntarilyquot quotapple greatest collection egomaniacs historyquot haha,Apple,Negative emotion
sxsw enchantment mention quotsell dream steve jobs doesnt say iphone 188 partsatampt made ppl suicidal chinese,iPhone,Negative emotion
launched popup apple store sxsw quotvintagequot store format mostly ipods snarky employees ah good old days,Apple,Negative emotion
stupid technology always fail important times sxsw w iphone laptop blackberry thing working pen,iPhone,Negative emotion
official people using ipad 2 take photos look weird sxsw,iPad,Negative emotion
pretty excited iphone stop working sxsw atampt,iPhone,Negative emotion
trying 2 convince mention 2 watch launch google social network sxsw didnt know going comedy,Other Google product or service,Negative emotion
data crunch sxsw crippling google voice back regular texting go,Other Google product or service,Negative emotion
trueexpect insidious approaches like apple subscriptions rt mention link disgraceful libraries sxsw,Apple,Negative emotion
flipboard bldg app appstore need wholistic mktg awareness pr strategy drive adoption dont rely apple rji sxsw,,Negative emotion
composed tweet acerbic cynical ipad users phone crashed dumped apps twitterpower sxsw imthatgood,iPad,Negative emotion
google bing meet sxsw lovers tiff last month seems disappointingly friendly link,Google,Negative emotion
google bing page rank panel ridiculously crowded al franken justin timberlake sxsw link,Google,Negative emotion
major ipad design flaw sxsw go ipad app doesnt stay open switch apps ipaddesignheadaches sxsw,iPad or iPhone App,Negative emotion
probably put away rt mention android party kinda embarrassed iphone sxsw,iPhone,Negative emotion
annoyed sxsw schedule app bad ui ipad fingers aint fat yall,iPad or iPhone App,Negative emotion
forbidden apple spoiled long live samsung rocking sxsw amp sxswis world,Apple,Negative emotion
bit disappointed two ipad talks many overlapping examples sxsw,Apple,Negative emotion
fest tipdont iphone doucheput away phone talk fellow festgoers lines etcall good people love film sxsw,iPhone,Negative emotion
android party kinda embarrassed iphone sxsw,iPhone,Negative emotion
anybody get sxsw mobile apps work ive downloaded android iphone blackberry get stuck downloading startup,iPad or iPhone App,Negative emotion
srsly love mention mention promo mention srsly hate excludes mention esp since ipad insists im disney sxsw,iPad,Negative emotion
new iphone autocorrect already tried change quotcoworkersquot quotvisigothsquot going long five days sxsw,iPhone,Negative emotion
iphone battery made mention sxsw,iPhone,Negative emotion
new circle game rt mention mention google tries launch new social network called circles link sxsw,Other Google product or service,Negative emotion
apple hopes didnt notice ipad 2 link sxsw sxswi technology mobile prodmktg,iPad,Negative emotion
future networks data thats google may win long term sxsw web3 saatchiny,Google,Negative emotion
leaning web conventions like small buttons ipad uxdes sxsw,iPad,Negative emotion
lol 2 true rt mention official people using ipad 2 take photos look weird sxsw,iPad,Negative emotion
sxsw live stream working ipad fail link,iPad,Negative emotion
hmm sxswcominteractivelive stream isnt ipadmobile compatible maybe next year sxsw,iPad,Negative emotion
would like know lbs app downloaded commandeered iphones geolocation setting amp wont relinquish batterykiller sxsw,iPad or iPhone App,Negative emotion
getting ready quotipad design headachesquot sxsw,iPad,Negative emotion
never realized shitty iphone battery sxsw im charging every hours,iPhone,Negative emotion
several years late think trend social apps mention sxsw google circles conversation mention,iPad or iPhone App,Negative emotion
heck doesnt google maps use browser geolocation missing somehow using chrome mention sxsw startupbus,Other Google product or service,Negative emotion
heck would anyone want mozilla switch crapkit webkit gecko good stupid applegoogle bandwaggoners sxsw,Apple,Negative emotion
apple cited opposite crowdsourcing proprietary steve jobs tells want csuitecsourcing sxsw,Apple,Negative emotion
walked line ipad 2 bahahahaha least 5 blocks long fail sxsw,iPad,Negative emotion
walked past supposed apple sxsw temp store downstairs mention apple cult outside taking photos iphones,Apple,Negative emotion
google prefers launch hyped new social features meh bang via tc link sxsw,Google,Negative emotion
like vegas ces iphone best used hand warmer sxsw,iPhone,Negative emotion
sxsw panel quotstaying alive indie iphone game development survivequot kind downer try coronasdk mention,,Negative emotion
note self downside tweeting white ipad 2 expect mocked mention sxsw,iPad,Negative emotion
google seems sabotaged youtube account wtf trying entire online ecosystem bad form sxsw,Google,Negative emotion
friends sxsw think abandoned reality didnt means communication iphone stopped working fail,iPhone,Negative emotion
happened taxi magic iphone app call cabs via sxsw,iPad or iPhone App,Negative emotion
ha rt mention google guy sxsw talk explaining made realistic twitter bots experiment gee thanks,Google,Negative emotion
oh utter mention sxsw fail cant see letter ballroom iphone app long doesnt wrap cc mention,iPad or iPhone App,Negative emotion
gamechanger like wave buzz doubt rt mention google launch major new social network called circles link sxsw,Other Google product or service,Negative emotion
never apparent sxsw nice would apple made stuff w removable batteries alwayshavingtoplugin gsdm,Apple,Negative emotion
iphone users sxsw gps stuck one new geo app updates foursquaregowalla,iPhone,Negative emotion
apple takes bruises panelists well regarded sustainability space corporate sustainability reporting transparency sxsw,Apple,Negative emotion
apple likes pay thats apple likes barry diller sxsw,Apple,Negative emotion
dailies ipad going evolvetheyre still impossible download 20 mb downloads sxsw,,Negative emotion
google presentation mayer sales pitch fail sxsw,Google,Negative emotion
sooo design ipads session hour long ad buy ipad apps amismarternow sxsw,,Negative emotion
ipad design headaches take two tablets call panel excited hear mention live sxsw,iPad,Negative emotion
awesome hear marissa mayer acknowledge google maps needs increase support product bc incorrect routes sxsw,Other Google product or service,Negative emotion
sxxpress line almost long apple line sxsw link,,Negative emotion
sxsw exposing iphones horrendous battery life,iPhone,Negative emotion
novelty ipad news apps fades fast among digital delegates aron pilhofer nyt amp khoi vinh link media sxsw,iPad or iPhone App,Negative emotion
outside 930 panels 75 people skip barely get anything work iphone sxsw needs shrink 10k people,iPhone,Negative emotion
novelty ipad news apps fades fast among sxsw delegates mention link,iPad,Negative emotion
pollak youre much trouble dont sell appleduh sxswbigbrands sxsw,Apple,Negative emotion
turning twitter sxsw ipad forgotten,iPad,Negative emotion
kicking w mention talking ipad design headaches sxsw,iPad,Negative emotion
wifi working laptop neither 3g iphone grrr sxsw,iPhone,Negative emotion
mention life cant get ipad sync sessions partial iphone fine ipad deciding wants sxsw,iPad,Negative emotion
cab ride hell get apple store mall sold getting dinner figure get back hotel sxsw,Apple,Negative emotion
navigating crowded party sucks way worse everyone walks around face iphone sxsw adpeopleproblems,iPhone,Negative emotion
mullenweg admits iphone app wordpress good yet true respect honesty awareness sxsw,iPad or iPhone App,Negative emotion
best thing ive heard weekend sxsw quoti gave ipad 2 money japan relief dont need ipad 2quot mention mention,iPad,Negative emotion
mention glad ive got faulty iphone thatll go well sxsw everyones battery dies 5 times quicker hope mention knows,iPhone,Negative emotion
quotgoogle many products needs condense themquot sxsw fyi nine mobile products,Google,Negative emotion
quotgoogle looks technical solutions theyre great community human solutionquot sxsw,Google,Negative emotion
quotgoogle launch major new social networkquot really dont need another social networklink sxsw,Other Google product or service,Negative emotion
ipad design headaches interface metaphor looks like book make behave like book simple stuff often forgotten sxsw,iPad,Negative emotion
ipad design malady ipad elbow hate ipads back button heat million suns tapworthy sxsw,iPad,Negative emotion
didnt go sxsw im still using iphone 3g oldschool novideo veryslow,iPhone,Negative emotion
mention good job mention sxsw went home amp watched season 1 guild sucks tweet abt iphone hijack top tweet lol,iPhone,Negative emotion
sxsw google calendar getting little control,Other Google product or service,Negative emotion
mention google circles lame sxsw lt3,Other Google product or service,Negative emotion
think google lost way caring much business instead users tim oreilly sxsw pnid,Google,Negative emotion
uses google tv room nobody raises hand packed room socialviewing session sxsw,,Negative emotion
lunch mention cnngrill view html5 dev trenches android painful ios sleek mention sxsw,Android,Negative emotion
open graph repair damage google title tag sxsw microformats,Google,Negative emotion
sxsw math flight leaves 645 clocks go ahead 2 iphone alarm go time miss flight,iPhone,Negative emotion
mention ha feel like person sxsw nonmacipad,Apple,Negative emotion
ipad2 hand thanks popup apple store sxsw first impression may lemon backlight bleed thru bottom,iPad,Negative emotion
beware android sxsw app schedules completely innacurate walked hyatt reason sxswfail,Android App,Negative emotion
data new oil companies like google facebook monopoly terms service wary mention sxsw,Google,Negative emotion
kara swisher apple stylish fascist company america sxsw,Apple,Negative emotion
well cashmore gave new ipad crushing nonendorsement sxsw checkins ouch,iPad,Negative emotion
rip iphone 4 june 2010 sxsw survived severe drop could evade drowning link,iPhone,Negative emotion
95 iphone droid apps less 1000 downloads total sxsw,Android App,Negative emotion
tomorrow go back apple store sigh sxsw,Apple,Negative emotion
mention hate typing ipad yeah ken calhoun man real deal bringing laptop sxsw sun,iPad,Negative emotion
mention hope years festival isnt crashy years iphone app sxsw,iPad or iPhone App,Negative emotion
mention meant itunes doesnt work ie dont run apple software even would run ubuntu desktop sxsw dl,Other Apple product or service,Negative emotion
mention outdid time tech fail iphonebroken might worst thing ever happen sxsw,iPhone,Negative emotion
mention im glad dont ipad 2 think sxsw,iPad,Negative emotion
mention im going sxsw lets meet cant use mention yet android phone show works,,Negative emotion
mention im guessing android app time sxsw,Android App,Negative emotion
totalitarian thought action people worldwide come austin tx sxsw decide spend time line apple store,Apple,Negative emotion
ridiculous see someone taking photo session ipad wait see concert use sxsw silly,iPad,Negative emotion
mention id stay away apple store tomorrow sxsw,Apple,Negative emotion
mention makes feel better googlewannabe fanbois acting like giggling schoolgirls front marissa mayer yday sxsw,,Negative emotion
related u verizon u better sxsw bandwidth issue blackberry always tweeted iphone dawdled wjchat,iPhone,Negative emotion
ipad designui tip \x89ûïbuttons hack approach skepticism \x89ûï tapworthy sxsw,iPad,Negative emotion
farmers like blackberry smart phones iphones quotdont last long farmquot mobilefarm sxsw,iPhone,Negative emotion
tablets like ipad xoom touch emulates mouseclickkeyboard input means yet sxsw gswsxsw futureoftouch,iPad,Negative emotion
techie fail rt mention one sxsw panel moderator europe says spent 3000 roaming charges iphone sxsw 2010,iPhone,Negative emotion
content move back browser replicate work ipad u press one button mention mention sxsw,iPad,Negative emotion
mad mad lines still sxsw apple pop store austin ipad2,Apple,Negative emotion
im thinking may actually take laptop sxsw ipad alone may enough trip,iPad,Negative emotion
playing w windows7 phone sxswthe animation better iphoneamp look interesting,,Negative emotion
mention instagram iphone moment mister quothas cool different get evoquot sucks sxsw,iPhone,Negative emotion
hey mention got invited new group sxsw android app keeps crashing try join wtf sxswfail,Android App,Negative emotion
hey mention twitter needs way us disaster areas filter things like sxsw ipad right really dont care,iPad,Negative emotion
hey mention app wont download android app market heads sxsw,Android App,Negative emotion
guy ipad 2 taking photos mention slides awkward sxsw,iPad,Negative emotion
mention ipad app getting panned design trumping content rightfully sxsw,iPad or iPhone App,Negative emotion
fuck iphone rt mention new ubersocial iphone app store includes uberguide sxsw link,iPhone,Negative emotion
mention talk mistakes made building netflix iphone sxsw netflixiphone,iPad or iPhone App,Negative emotion
bad news costs 1000 rt mention louis vuitton iphone app called amble digitalluxury sxsw,,Negative emotion
row morning two people hand writing notes one person blackberry pc proof apple isnt monopoly sxsw,Apple,Negative emotion
many publishers ipad content enhancements like th worst david foster wallace footnotes kinda interesting mostly irrelevant sxsw,iPad or iPhone App,Negative emotion
iphone crisis sxsw phone stuck silver logo screen last 15 minutes help,iPhone,Negative emotion
cant wait give samsung people demo horrible terrible google nexus phone sxsw,Google,Negative emotion
wont pull website iphone awesome glad wasted time festivalgenius notsomuch sxsw,iPhone,Negative emotion
know bad unrsvp seeuse calendar iphone sxsw fml,,Negative emotion
mention next step google becoming skynet sxsw,Google,Negative emotion
netflix iphone app built quotridiculous deadlinequot big mistake techs part agree sxsw,iPad or iPhone App,Negative emotion
first talk day ipad design headaches sxsw,iPad,Negative emotion
josh clark hate ipads back button heat million suns tapworthy sxsw,iPad,Negative emotion
google takes mantra dont evil heart yet pride products make guilty 7th deadly sin superbia sxsw,Google,Negative emotion
prizes sxsw apple products sigh,Apple,Negative emotion
cant handle sxsw traffic rt mention dear mention app iphone sucked day crashing,iPad or iPhone App,Negative emotion
double buzzing issue iphone ios 43 getting annoying news iphone may fly across room gr2l2 sxsw,iPhone,Negative emotion
quotapple elegant fascist company americaquot flipboard sxsw,Apple,Negative emotion
google launched next social media flop yet sxsw,Other Google product or service,Negative emotion
quotapple likes pay thats apple likesquot barry diller sxsw mention acc ballroom pic link,Apple,Negative emotion
sxsw apple store run day boo apple,Apple,Negative emotion
dear google photobooth sucks sxsw,Other Google product or service,Negative emotion
quotapple elegant fascist corporation america todayquot kara swisher sxsw flipboard,Apple,Negative emotion
learn design headaches ipad sxsw,iPad,Negative emotion
barry diller says ipadonly magazines like daily dont make sense link sxsw,iPad or iPhone App,Negative emotion
barry diller says youre silly write content one form factor apple like get money sxsw,Apple,Negative emotion
barry dillers pragmatic straight forward nice looks like wants us grab pitchforks vs apple sxsw,Apple,Negative emotion
sxsw go lets rate amp review sessions although experience iphone bit torturous,iPhone,Negative emotion
google eat rhizome sxswk sxsw mention hilton link,Google,Negative emotion
google launch facebook competitor circles mention sxsw today thought creeper halffriends world disappointed,Google,Negative emotion
suck rt mention rt mention google preview major new social service circles sxsw today link,Other Google product or service,Negative emotion
look people sxsw ipad 1s shame,iPad,Negative emotion
feel silly figure update sxsw mobile app android doesnt seem quotoptionsquot bottom left button,,Negative emotion
really hoping sxsw would bring android version mention oh well maybe somedaya long time,Android App,Negative emotion
overload info delivered google kill discovery google says ppl wont lose curiosity wonderwe need serendipity sxsw,Google,Negative emotion
mention love yall sxsw come im getting login authorization error almost every time open app iphone,iPad or iPhone App,Negative emotion
failure google buzz google latitude google circle seriously google needs concentrate search fail google sxsw,Google,Negative emotion
finally get everyone buy facebook google introduces circle fair stop innovation people sxsw,,Negative emotion
finally get everyone buy facebook google introduces circles fair stop innovation people sxsw,Other Google product or service,Negative emotion
mention might need go apple today think quotsquot quotxquot quotwquot keys worn sxsw,Apple,Negative emotion
got mine amp disagree rt mention peter cashmore ipad 2 minor improvement worth unless youve 2 burn sxsw,iPad,Negative emotion
nope seems google circles launch today link sxsw,Other Google product or service,Negative emotion
mention twitter iphone app days heading sxsw want tweet lot help,iPad or iPhone App,Negative emotion
mention iphone crashed amp fresh restore amp lost fave dalicanvas pak ever get back also mention sxsw,iPhone,Negative emotion
ahhh darn rt mention mention mention according mention google confirmed launching sxsw,Other Google product or service,Negative emotion
please hear people talk ipad 2 preferrably sxsw hashtags really deficit life,iPad,Negative emotion
woman great fessing issues admitting google could better sxsw,Google,Negative emotion
sitting floor behind guy whos fondling new ipad 2 disturbing way sxsw,iPad,Negative emotion
grrrplancast stuff exported google calendar san diegopacific time shift central tme wack sxsw,Google,Negative emotion
line around corner ipad2 sxsw say wait ive already got two cameras iphone sorry apple,iPad,Negative emotion
bereft wanderer white cord limp lifeless outlet iphone sxsw poetry,iPhone,Negative emotion
man panhandling ipad 2 sxsw what\x89ûªs world coming ipad apple tablet sxsw,iPad,Negative emotion
iphone sxsw app would b pretty awesome didnt crash every 10mins extended browsing fuckit illmakeitwork,iPad or iPhone App,Negative emotion
sxsw iphone app awesome ipad app crashes every time sxsw,iPad or iPhone App,Negative emotion
anyone address yeasayer concert tonight google maps failing sxsw,Other Google product or service,Negative emotion
asked one booth people apple paid every single booth show product ipad2s said idontbelieve sxsw,Apple,Negative emotion
internet blurs link ipad fades link \x89ûò mention sxsw,iPad,Negative emotion
interesting quotmention quotgoogle looks technical solutions theyre great mention community human solution sxsw\x89û\x9d,Google,Negative emotion
tweeting sxsw pretty non existent today thanks mention iphone app fail hootsuite epic replacement owllove,iPad or iPhone App,Negative emotion
going mock technerds coming sxsw stand 4hour line ipad 2 remembered horror movies,iPad,Negative emotion
starting think blackberry like abacus phones damn u iphone sxsw wanted abacus,iPhone,Negative emotion
mention nice sxsw song mention don\x89ûªt hack write rails deliver sell work google link,Google,Negative emotion
mention wouldnt buy ipad 2 id wait ipad 3 teleporting capabilities sxsw,iPad,Negative emotion
technology couldnt happen iphone nokia pushsnowboarding sxsw,iPhone,Negative emotion
