tweet_text,is_there_an_emotion_directed_at_a_brand_or_product,target
surprise apple opened popup store austin nerds town sxsw get new ipads link cnet,Positive emotion,0.0
surprise apple opened popup store austin nerds town sxsw get new ipads link,Positive emotion,0.0
\x89ûïmention apple great example retail store layed future registers checkout line sxsw,Positive emotion,0.0
\x89ûïmention apple opening temporary store downtown austin sxsw ipad 2 launch link gswsxsw,Positive emotion,0.0
\x89ûïmention apple opening temporary store downtown austin sxsw ipad 2 launchquot oh yay traffic,Negative emotion,1.0
sxsw apple popup store open noon fresh shipment ipad 2s im pretty sure im going get one fingers crossed,Positive emotion,0.0
technews apple saves sxsw set open popup store link technews apple sxsw tech,Positive emotion,0.0
sxsw apple schools marketing experts link,Positive emotion,0.0
sxsw apple schools marketing experts link via mention,Positive emotion,0.0
sxsw apple schools marketing experts link via mention ltlt true love loathe one marketing like,Positive emotion,0.0
sxsw apple schools marketing experts cnet link,Positive emotion,0.0
sxsw apple schools marketing experts cnet blogs link austin atx retail,Positive emotion,0.0
\x89ûïmention apple store downtown austin open til midnight sxsw\x89û\x9d mention theres still time,Positive emotion,0.0
quotthe apple store mall sunday 10x crowded line fake need fucking donglequot genius let sxsw,Negative emotion,1.0
makeshift apple store 6th congress youre kidding amazing sxsw apple,Positive emotion,0.0
temporary apple store sxsw really coolas ipad 2 apple sxsw fanboy,Positive emotion,0.0
temporary apple store set sxsw shit temptation going control,Positive emotion,0.0
temporary apple store opens 5pm 6th congress line already growing ipad viewio link via mention sxsw,Positive emotion,0.0
temporary apple store block office cant wait see line tomorrow photos come sxsw ipad2,Positive emotion,0.0
ipad news apps last year sxsw link,Negative emotion,1.0
10 iphone apps you\x89ûªll probably need use sxsw link,Positive emotion,0.0
150 million mobile google maps users mention sxsw,Positive emotion,0.0
android rt mention 10 new mobile apps i\x89ûªll using atåêsxsw link,Positive emotion,0.0
ipad apps like software development release start working update sxsw,Positive emotion,0.0
overheard sxsw quotthe ipad relaxing computerquot agreed ipad apple,Positive emotion,0.0
overheard sxsw interactive quotarg hate iphone want blackberry backquot shocked,Negative emotion,1.0
\x89ûïmention sxsw quotapple comes cool technology ones ever heard dont go conferencesquot\x89û\x9d,Negative emotion,1.0
last year sxswi everbody talking ipad year social media driven revolutions year better sxsw,Positive emotion,0.0
long line apple pop store ipad 2 great marketing apple sxsw,Positive emotion,0.0
\x89ûïmention google 4 people work 7 people rather 7 people work 4 agileagency sxsw\x89û\x9d,Positive emotion,0.0
knackered home playing ipad updating iphone timeline smashed partytweets cant make go bed sxsw,Positive emotion,0.0
overheard mdw ill second quothalfway iphone battery already havent even boarded plane sxswquot amateurhour,Negative emotion,1.0
technews sxsw apple schools marketing experts link technews apple jobsco sxsw tech,Positive emotion,0.0
first day sxsw fun final presentation google doodles googledoodle sxsw,Positive emotion,0.0
huge line apple store austin sxsw crowd tripping get new ipad,Positive emotion,0.0
ur google aclu 80s partyu sxsw,Positive emotion,0.0
laughed ipad spent week hauling macbook everywhere really want ipad shoulder rub sxsw,Positive emotion,0.0
sxsw attendees need qr code reader iphone tweet us image badge first 5 get optiscan free,Positive emotion,0.0
hey sxsw attendeesyou hop line apple store four days til new ipad2 comes,Positive emotion,0.0
took away lego pit replaced recharging station sxsw might check prices iphone crap samsung android,Negative emotion,1.0
mention bad apple shows late qs process poopoos ideas leaves early even quotim creativequot busy gamestorming sxsw,Negative emotion,1.0
trying balance power power needs iphone vs ipad sxsw 3g ipad sucks quick might go airplane mode,Negative emotion,1.0
iphone battery 100 winning sxsw,Positive emotion,0.0
iphone battery cant keep tweets thanks apple sxsw precommerce,Negative emotion,1.0
fun watch ipadmadness rt mention apple opening popup store austin sxsw link sxsw,Positive emotion,0.0
control apple set open popup shop core sxsw action link via mention cc mention,Positive emotion,0.0
celebrate beauty web mention msft ie9 launch amp play new html5 game win ipad2 link sxsw,Positive emotion,0.0
\x89ûïmention best thing ive heard weekend sxsw quoti gave ipad 2 money japan relief dont need ipad 2quot mention,Negative emotion,1.0
ipad 2 betterthey time improve sxsw,Positive emotion,0.0
link go beyond earth hour year sharing positive actions world download earthhour 60 iphone app sxsw,Positive emotion,0.0
google vs bing bettersearch bing shot success w structured search potentially higher margin cpa model vs google sxsw,Negative emotion,1.0
course bing results good googles seo sxsw qagb,Positive emotion,0.0
impulsive buy friends sxsw gt one selling 1st gen 32gb 3g ipad,Positive emotion,0.0
\x89ûïmention buying 2 new ipads mention geekdate apple sxsw ipad2\x89û\x9d,Positive emotion,0.0
someones buying present rt mention apple opening popup store austin sxsw link,Positive emotion,0.0
nice find rsqs mention link sxsw ipad app,Positive emotion,0.0
quotyou google canadian tuxedo lose hoursquot sxsw,Positive emotion,0.0
exciting can\x89ûªt wait rt mention apple opening temporary store downtown austin sxsw amp ipad 2 launch link,Positive emotion,0.0
great certain meetings rt mention hello holler gram new ipad app link hollergram sxsw,Positive emotion,0.0
dont miss charles chen android chromeos access sxsw mention google booth exhibit hall 3 mention 1pm sxsw,Positive emotion,0.0
ipad 2 coming sxsw guess apples pretty desperate give attention,Negative emotion,1.0
youre coming sxsw sure download sxsw go app schedules locations events link,Positive emotion,0.0
seriously considering leaving macbook pro home flying solo ipad week think make work sxsw,Positive emotion,0.0
shipments daily follow mention appleatxdt 4 updates rt mention popup apple store seems popup ipad2s sxsw,Negative emotion,1.0
four days ipad sxsw weekend battlela,Positive emotion,0.0
iphone dead find secret batphone sxsw,Negative emotion,1.0
google tv demo league extraordinary hackers cool stuff like web apps tv google sxsw lxh,Positive emotion,0.0
best ipad design big chunky elements generous space clarity trumps density tap quality trumps tap quantity tapworthy sxsw,Positive emotion,0.0
attending designing ipad interfaces new navigation schemas w mention great stuff far sxsw,Positive emotion,0.0
lovin digital mention band sings iphone amp plays guitar app fans record vids ipad2s cnn digital cnngrill sxsw sxswi,Positive emotion,0.0
barry diller thinks ipad content nuts mention sxsw mention link mention,Negative emotion,1.0
really need another big social network right thanks sxsw google link,Positive emotion,0.0
japan docomo introduced mobile apps six years apple came app store jpmobilesummit sxsw,Negative emotion,1.0
jeez guys dunno apple popup golds gym u realize unjobsaesthetic sxsw apple,Negative emotion,1.0
even begins apple wins sxsw link tc apple,Positive emotion,0.0
even begins apple wins sxsw link mention,Positive emotion,0.0
even begins apple wins sxsw link opening temporary store downtown austin support ipad2 launch genius,Positive emotion,0.0
even begins apple wins sxsw techcrunch link ipad,Positive emotion,0.0
even begins apple wins sxsw link,Positive emotion,0.0
even begins apple wins sxsw link,Positive emotion,0.0
even begins apple wins sxsw link,Positive emotion,0.0
even begins apple wins sxsw link mention mention,Positive emotion,0.0
even begins apple wins sxsw link via mention mention mention,Positive emotion,0.0
even begins apple wins sxsw link mention,Positive emotion,0.0
even begins apple wins sxsw link via mention,Positive emotion,0.0
even begins apple winsåêsxsw link gt gon na get sum via mention,Positive emotion,0.0
even begins apple wins sxsw techcrunch link sxsw,Positive emotion,0.0
even begins apple wins sxsw link ltlt win big sxsw,Positive emotion,0.0
even begins apple wins sxsw link apple ipad2 pm sxsw,Positive emotion,0.0
even begins apple wins sxsw link apple ipad2 sxsw tc,Positive emotion,0.0
even begins apple winsåêsxsw link apple sxsw,Positive emotion,0.0
even begins apple wins sxsw link tc apple ipad2 sxsw,Positive emotion,0.0
even begins apple winsåêsxsw link via mention apple sxsw,Positive emotion,0.0
even begins apple wins sxsw link via mention mention apple sxsw,Positive emotion,0.0
badgeless event free drinks \x89ûïmention heading free googlesponsored happy hour semantic web austin mention fogo de chìáo sxsw\x89û\x9d,Positive emotion,0.0
best swag ever thanks mention charging iphone thanks sxsw link,Positive emotion,0.0
timing everything ipad 2 brand winner sxsw mention link pnid sxsw,Positive emotion,0.0
hey sxsw exhibitors capture booth experience retrollect disc popular disc wins ipad 2 link,Positive emotion,0.0
sxsw fantastic schedule app iphone bummer still crackberry,Positive emotion,0.0
photo far best sxsw accessory ipad followed closely margarita link,Positive emotion,0.0
one fav photos sxsw far mention amp mention google sxsw link,Positive emotion,0.0
think fell bit love google today thanks throwing nerd party speakeasy sxsw,Positive emotion,0.0
way figure ipad 2 good replacement making sxsw year,Positive emotion,0.0
need find better sxsw stream follow inane ipad 2 tweets surely southby,Negative emotion,1.0
rt find hottest spots mention w mention hot spots sxsw app wp7 link iphone link,Positive emotion,0.0
google focusing bridging digital physical divide eg maps streetview hotpot amp autonomous driving sxsw mention,Positive emotion,0.0
hey sxsw folks please keep us posted google circles hope youre blast link,Positive emotion,0.0
apple follow customers sxsw forbes link alcoholics call \x89û÷enabling\x89ûª rest us call genius,Positive emotion,0.0
good news austinbound apple fanboys link sxsw ipad2,Positive emotion,0.0
wish list tech ntn sxsw google apps helps level playing field kids may software home,Positive emotion,0.0
hitlantis ipad cool song explorer app hitlantiscom sxsw musicviz,Positive emotion,0.0
friends sxsw willing pick ipad pay premium dm sxsw atl link,Positive emotion,0.0
good talk akqas mention ipad interface w callback design principles wish go beyond media marketing examples fb sxsw,Positive emotion,0.0
person front took picture new ipad sxsw,Positive emotion,0.0
marketing genius apple opens pop store outside sxsw link,Positive emotion,0.0
\x89ûïmention get ready word quotcirclesquot trending sxswi sxsw \x89û\x9d google circles social,Positive emotion,0.0
get food dont forget snap photo win macbook air ipad 2 apple tv sxsw,Positive emotion,0.0
austin getting full sxsw underway tell iphone intermittent brick crowded,Negative emotion,1.0
google giving free google labs laptops open source coders r attending meetup sxsw got cupcake,Positive emotion,0.0
sxsw go app available blackberry windows 7 addition iphone ipad android link,Positive emotion,0.0
want go apple popup store im afraid ill leave new ipad sxsw,Positive emotion,0.0
omgim going sxsw macbook pro ipad iphone4 ipod galaxy tab techgeek,Positive emotion,0.0
golden tickets f 4sq party day real party redbullbpm felix da housecat playing ipad sxsw link,Positive emotion,0.0
gsdampm google sxsw party mention blowing mind much amazing food drink music amp photo booth fun,Positive emotion,0.0
sxsw google authenticator app mobile devices step ahead,Positive emotion,0.0
mention google circles first real alternative facebook sxsw,Positive emotion,0.0
\x89ûïmention google lets block sites cant stand link sxsw blocking looks like need,Positive emotion,0.0
length google penalty based severity breach webmaster guidelines iewhite text white bgr might get 30 day pen sxsw qagb,Negative emotion,1.0
\x89ûïmention google launch major new social network called circles possibly today link sxsw\x89û\x9d itll never beat myspace,Negative emotion,1.0
\x89ûïmention google launch major new social network called circles possibly today link sxsw\x89û\x9d mention bigger gaga,Positive emotion,0.0
\x89ûïmention google launch major new social network called circles possibly today link sxsw\x89û\x9d super interesting,Positive emotion,0.0
\x89ûïmention google launch new social network called circles today link sxsw\x89û\x9d applause new privacy model attempt,Positive emotion,0.0
mention google connect digital amp physical worlds mobile link sxsw rt mention,Positive emotion,0.0
future google contextual discovery location context helps us go deeper ever searches without search mention sxsw,Positive emotion,0.0
check googletv ipad apps connected tv experience sxsw link sxsw connectedtv,Positive emotion,0.0
check googletv ipad apps connected tv experience sxsw link sxsw connectedtv fascinating,Positive emotion,0.0
cnnmoney got craving sxsw minds created app foodspotting link iphone apps,Positive emotion,0.0
ipad 2 hand awesome dude gave cutsies 3 hour line austin apple sxsw winning,Positive emotion,0.0
smtravel hasnt heard google plans launch socnet may quotcirclesquot learned lot 5 years lots changed via sxsw,Positive emotion,0.0
may invites quotcoolquot sxsw sxswi parties two iphone chargers pocket youll happy see,Positive emotion,0.0
ive meetings im line sxsw popup apple store ipad2 love place,Positive emotion,0.0
apple hawk ipad 2 sxsw festival popup store link mention,Positive emotion,0.0
mention hello enjoy sxsw ride anywhere austin 10 download groundlink app link booth 437,Positive emotion,0.0
oh lordy go rt mention time apple store sxsw open pulling ipad2 trigger,Positive emotion,0.0
loved honesty googles marissa mayer keynote many products need step customer service locations sxsw,Positive emotion,0.0
hey sxsw bout donating spending new ipad japan really need thing,Negative emotion,1.0
wondering much revenue austin mention store grossed account ipad2 amid sxsw strategic release,Positive emotion,0.0
could forget cell phone today sxsw fail glad ipad lifelinetotheworld,Positive emotion,0.0
mention 3g iphone 3 hrs tweeting riseaustin dead need upgrade plugin stations sxsw,Negative emotion,1.0
mention feeling sxsw worst place try amp get ipad 2 everyone trying get one techiesunite,Negative emotion,1.0
love macbook ipad iphone sxsw year one runs juice jump next,Positive emotion,0.0
holy cow got hooked paolo alex backup charger iphone facebookcom powermat powermatteam sxsw thanks,Positive emotion,0.0
holy cow got hooked paolo alex backup charger iphone facebookcom powermat powermattteam sxsw thanks,Positive emotion,0.0
catch 22\x89û mean ipad 2 sxsw link apple ipad2,Positive emotion,0.0
knew plied mention beer stogies last night id weasel way team android party tonight success sxsw,Positive emotion,0.0
thought would use ipad lot sxsw havent even touched hmmzies,Negative emotion,1.0
\x89ûïmention ill austin convention center today w mention fam showing new iphone game sxsw\x89û\x9d,Positive emotion,0.0
mention im beyond frustrated w mention samsung moment runaround amp leaving att amp iphone enjoy sxsw,Positive emotion,0.0
idea startupbus thing addictive link sxsw also added android app,Positive emotion,0.0
hotspot mention data speed could keep rt mention also thanks apple releasing ios 43 time sxsw,Positive emotion,0.0
wondering ppl sxsw friday queue convention centre apple store xd im still figuring wot ill,Positive emotion,0.0
week ipad clip mention joins mention review free sxsw go app link ipad2 sxswgo,Positive emotion,0.0
youre room full people w good wifi sxsw run frostwire android link share pics apps vids w others,Positive emotion,0.0
youre room full people w good wifi sxsw run frostwire android link share pics apps vids w others,Positive emotion,0.0
hot spots austin gowalla right convention cnt ignite party n apple store sxsw sxswi,Positive emotion,0.0
austin weekend mention sxsw supporting smarty ears launch new ipad apps speech therapy link sxswh sxsh,Positive emotion,0.0
need sweet mac goodness sxsw apple set temporary store downtown link,Positive emotion,0.0
zite intelligent ipad magazine link lt deliciousness sxsw trending youneedthis,Positive emotion,0.0
google interested location based tech indoor venues businesses convention centers etc tech needs improve first sxsw,Negative emotion,1.0
tim soos invisible instruments jaw dropping iphonewii controller link lovemusicapi sxsw,Positive emotion,0.0
rockin ipad 2 downtown apple sxsw store apple,Positive emotion,0.0
technews ipad 2 gets temporary apple store sxsw link technews apple applestore ipad2 sxsw tech,Positive emotion,0.0
awesome ipad 2 jailbreak link grateful dead fab5 sxsw,Positive emotion,0.0
new post ipad 2 launches huge lines apple popup shop austin link sxsw sxswi,Positive emotion,0.0
\x89ûïmention ipad 2 sold 70 went new buyers report link sxsw socialmedia tech ipad2 media\x89û\x9d,Positive emotion,0.0
remaining ipad 2 stock sxsw apple store come get one link,Positive emotion,0.0
ipad accessories bag thanks mention sxsw,Positive emotion,0.0
sxsw ipad app pure gold mention,Positive emotion,0.0
first ipad didnt even exist last year already feel like im pulling antique everytime use ipad sxsw ipad2,Negative emotion,1.0
turn ipad physical messaging platform holler gram cheeky app built sxsw link,Positive emotion,0.0
shoot ipad display search results go questions later osmpw sxsw,Negative emotion,1.0
pic ipadwinning performance link sxsw accordion toodamnlucky,Positive emotion,0.0
fear iphone att 3gs slowpoke network sxsw amp sxswmusic,Positive emotion,0.0
sxsw iphone app mocking like money come,Negative emotion,1.0
sxsw iphone app one worst ive use long time,Negative emotion,1.0
cool iphone app launched sxsw flypost community bulletin board w location learn link link,Positive emotion,0.0
pedicab iphone charger would epic win sxsw,Positive emotion,0.0
check iphone developer meet sxsw link sxsw,Positive emotion,0.0
quotthe iphone transient device used short bursts ipad 8pm couch devicequot mention sxsw,Positive emotion,0.0
disliking iphone twitter auto shortening links sxsw,Negative emotion,1.0
mention iphone clearly positively happily sxsw,Positive emotion,0.0
flipboard developing iphone version android says mention sxsw,Positive emotion,0.0
iphone overheating many british sounding people texas sxsw,Negative emotion,1.0
link part presentation sxsw good thing crashing instead works best iphone android,Positive emotion,0.0
sister throwing google sxsw party tonigh come link bands food art ice cream nifty interactive sxsw,Positive emotion,0.0
iphone wilting stress sxsw,Negative emotion,1.0
believe almost always use google maps iphone rt mention 40 google maps use mobile says mention sxsw,Positive emotion,0.0
course rt mention sxsw gets apple store link geeksrule,Positive emotion,0.0
got ta get rt mention hey taariq howdy texas fav sxsw app link ltandroidor get iphone usguys,Positive emotion,0.0
mention bigger iphone smaller pc good big events like sxsw meeti link,Positive emotion,0.0
mention bigger iphone smaller pc good big events like sxsw meeting day link,Positive emotion,0.0
im bit jealous seeing sxsw attendees ipad2 ipad seems obsolete,Positive emotion,0.0
quotim learning things screenquot 4year olds explanation instantly knew use ipad sxsw,Positive emotion,0.0
location pixieengine rt mention google says future location location location link sxsw cnn,Negative emotion,1.0
ipad keeps awake thank god bought sxsw,Positive emotion,0.0
iphone know sxsw week tough alreadydwindling battery help jeebus keep correcting curse words,Negative emotion,1.0
google launch social network circles sxsw link whos excited,Positive emotion,0.0
google launch major new social network called circles link sxsw via mention,Positive emotion,0.0
google launch major new social network called circles updated link launched sxsw soon care,Negative emotion,1.0
google launch major new social network called circles link sxsw brazils orkut users waiting,Positive emotion,0.0
google launch major new social network called circles possibly today updated mention link sxsw,Positive emotion,0.0
google launch major new social network called circles possibly today link,Positive emotion,0.0
google launch major new social network called circles possibly today link sxsw surely threat fb,Positive emotion,0.0
google launch major new social network called circles possibly today link sxsw pakistan cwc2011,Positive emotion,0.0
google launch major new social network called circles possibly today link sxsw rt mention via mention,Positive emotion,0.0
google launch major new social network called circles possibly today link sxsw\x89û\x9d gtgt good,Positive emotion,0.0
